Feature,Post_Permutation,Post_SD
systolic_bp,0.4117628452184565,0.021935891873642185
hba1c,0.1503964221899694,0.014727702646239401
bun,0.12905376927549586,0.010532151633205896
diastolic_bp,0.12148682636161001,0.009579961351612237
alt,0.05541403985535744,0.008668638283368547
creatinine,0.04964812684161225,0.012040781240175859
glucose,0.04642989326988025,0.013067217450009397
albumin,0.04278932734349471,0.009013890075462962
total_cholesterol,0.033038384349362036,0.006568928116839317
ast,0.032708462686550296,0.007572026099239668
hdl,0.02941004408492029,0.0040651121850878436
sex,0.01956316283673743,0.006936808759110147
bmi,0.013388927950587664,0.005531221826862647
ggt,0.00041345056133620386,0.0022002976027061384
