Feature,Pre_Permutation,Pre_SD
systolic_bp,0.39825671691808756,0.02374056235404754
hba1c,0.16667217317982827,0.014575697120047306
bun,0.13172475798189545,0.010646754590528804
alt,0.11734839793126932,0.010120627268233645
diastolic_bp,0.09381633938215124,0.010099056002874984
glucose,0.06374868839345091,0.009376645799369447
albumin,0.05256843681229852,0.007933796521113848
ast,0.046898526024646954,0.007490321536522535
bmi,0.04006999563934529,0.006116809197297006
total_cholesterol,0.03584011696334326,0.008300073348853569
sex,0.0306129802293617,0.005519015046475336
hdl,0.021831473588824986,0.00467846743785109
creatinine,0.012187200079711252,0.004175336547312059
ggt,0.01157165342649224,0.005911505975024061
